"data","serie","codigo","valor"
2020-07-01,"base_monetaria",1788,423674702
2020-08-01,"base_monetaria",1788,402707438
2020-09-01,"base_monetaria",1788,408736990
2020-10-01,"base_monetaria",1788,427820406
2020-11-01,"base_monetaria",1788,417679545
2020-12-01,"base_monetaria",1788,431536653
2021-01-01,"base_monetaria",1788,433590499
2021-02-01,"base_monetaria",1788,411411002
2021-03-01,"base_monetaria",1788,405630283
2021-04-01,"base_monetaria",1788,420148020
2021-05-01,"base_monetaria",1788,403527996
2021-06-01,"base_monetaria",1788,422212123
2021-07-01,"base_monetaria",1788,427958210
2021-08-01,"base_monetaria",1788,406329194
2021-09-01,"base_monetaria",1788,403676335
2021-10-01,"base_monetaria",1788,396208882
2021-11-01,"base_monetaria",1788,413271664
2021-12-01,"base_monetaria",1788,409183519
2022-01-01,"base_monetaria",1788,417976196
2022-02-01,"base_monetaria",1788,402172008
2022-03-01,"base_monetaria",1788,385897343
2022-04-01,"base_monetaria",1788,396510494
2022-05-01,"base_monetaria",1788,398190743
2022-06-01,"base_monetaria",1788,407168900
2022-07-01,"base_monetaria",1788,389598010
2022-08-01,"base_monetaria",1788,395354595
2022-09-01,"base_monetaria",1788,393440715
2022-10-01,"base_monetaria",1788,398583288
2022-11-01,"base_monetaria",1788,391532638
2022-12-01,"base_monetaria",1788,419659918
2023-01-01,"base_monetaria",1788,413489780
2023-02-01,"base_monetaria",1788,403569746
2023-03-01,"base_monetaria",1788,413314387
2023-04-01,"base_monetaria",1788,410350182
2023-05-01,"base_monetaria",1788,396348679
2023-06-01,"base_monetaria",1788,403118875
2023-07-01,"base_monetaria",1788,394874228
2023-08-01,"base_monetaria",1788,399782374
2023-09-01,"base_monetaria",1788,404466849
2023-10-01,"base_monetaria",1788,397427080
2023-11-01,"base_monetaria",1788,405550140
2023-12-01,"base_monetaria",1788,422718628
2024-01-01,"base_monetaria",1788,404748204
2024-02-01,"base_monetaria",1788,414700663
2024-03-01,"base_monetaria",1788,417795886
2024-04-01,"base_monetaria",1788,406260051
2024-05-01,"base_monetaria",1788,436589996
2024-06-01,"base_monetaria",1788,436902447
2024-07-01,"base_monetaria",1788,432838785
2024-08-01,"base_monetaria",1788,434608930
2024-09-01,"base_monetaria",1788,429858545
2024-10-01,"base_monetaria",1788,437743879
2024-11-01,"base_monetaria",1788,436902962
2024-12-01,"base_monetaria",1788,451213588
2025-01-01,"base_monetaria",1788,439878595
2025-02-01,"base_monetaria",1788,440922743
2025-03-01,"base_monetaria",1788,443277392
2025-04-01,"base_monetaria",1788,435064403
2025-05-01,"base_monetaria",1788,452083273
2025-06-01,"base_monetaria",1788,451010163
2025-07-01,"base_monetaria",1788,443670744
2025-08-01,"base_monetaria",1788,438857418
2025-09-01,"base_monetaria",1788,429700158
2025-10-01,"base_monetaria",1788,431878281
2025-11-01,"base_monetaria",1788,430543036
2025-12-01,"base_monetaria",1788,447096654
2026-01-01,"base_monetaria",1788,450381594
2026-02-01,"base_monetaria",1788,449226409
2026-03-01,"base_monetaria",1788,438897105
2026-04-01,"base_monetaria",1788,437887656
2026-05-01,"base_monetaria",1788,427807336
2026-06-01,"base_monetaria",1788,431100998
2026-07-01,"base_monetaria",1788,432551687
2010-01-01,"papel_moeda_publico",27789,96458008
2010-02-01,"papel_moeda_publico",27789,95549619
2010-03-01,"papel_moeda_publico",27789,94575451
2010-04-01,"papel_moeda_publico",27789,95104206
2010-05-01,"papel_moeda_publico",27789,95036580
2010-06-01,"papel_moeda_publico",27789,95800804
2010-07-01,"papel_moeda_publico",27789,98736209
2010-08-01,"papel_moeda_publico",27789,100075605
2010-09-01,"papel_moeda_publico",27789,103808803
2010-10-01,"papel_moeda_publico",27789,104813221
2010-11-01,"papel_moeda_publico",27789,107519070
2010-12-01,"papel_moeda_publico",27789,121706380
2011-01-01,"papel_moeda_publico",27789,109180112
2011-02-01,"papel_moeda_publico",27789,106944772
2011-03-01,"papel_moeda_publico",27789,105471446
2011-04-01,"papel_moeda_publico",27789,105758926
2011-05-01,"papel_moeda_publico",27789,104751911
2011-06-01,"papel_moeda_publico",27789,106135493
2011-07-01,"papel_moeda_publico",27789,108442845
2011-08-01,"papel_moeda_publico",27789,108222859
2011-09-01,"papel_moeda_publico",27789,112364900
2011-10-01,"papel_moeda_publico",27789,112413134
2011-11-01,"papel_moeda_publico",27789,116232959
2011-12-01,"papel_moeda_publico",27789,131375615
2012-01-01,"papel_moeda_publico",27789,118163021
2012-02-01,"papel_moeda_publico",27789,116524975
2012-03-01,"papel_moeda_publico",27789,116998568
2012-04-01,"papel_moeda_publico",27789,116360833
2012-05-01,"papel_moeda_publico",27789,117391087
2012-06-01,"papel_moeda_publico",27789,120691223
2012-07-01,"papel_moeda_publico",27789,121307638
2012-08-01,"papel_moeda_publico",27789,125020953
2012-09-01,"papel_moeda_publico",27789,128434260
2012-10-01,"papel_moeda_publico",27789,126915309
2012-11-01,"papel_moeda_publico",27789,133496640
2012-12-01,"papel_moeda_publico",27789,149638726
2013-01-01,"papel_moeda_publico",27789,133237620
2013-02-01,"papel_moeda_publico",27789,131237482
2013-03-01,"papel_moeda_publico",27789,133353634
2013-04-01,"papel_moeda_publico",27789,130626544
2013-05-01,"papel_moeda_publico",27789,133657251
2013-06-01,"papel_moeda_publico",27789,134955444
2013-07-01,"papel_moeda_publico",27789,135350614
2013-08-01,"papel_moeda_publico",27789,138957075
2013-09-01,"papel_moeda_publico",27789,140713932
2013-10-01,"papel_moeda_publico",27789,140822497
2013-11-01,"papel_moeda_publico",27789,147994979
2013-12-01,"papel_moeda_publico",27789,163879089
2014-01-01,"papel_moeda_publico",27789,149973789
2014-02-01,"papel_moeda_publico",27789,151218362
2014-03-01,"papel_moeda_publico",27789,146575525
2014-04-01,"papel_moeda_publico",27789,145412910
2014-05-01,"papel_moeda_publico",27789,146283564
2014-06-01,"papel_moeda_publico",27789,147571632
2014-07-01,"papel_moeda_publico",27789,148429400
2014-08-01,"papel_moeda_publico",27789,151792352
2014-09-01,"papel_moeda_publico",27789,155524579
2014-10-01,"papel_moeda_publico",27789,157290347
2014-11-01,"papel_moeda_publico",27789,162762344
2014-12-01,"papel_moeda_publico",27789,178251606
2015-01-01,"papel_moeda_publico",27789,162568095
2015-02-01,"papel_moeda_publico",27789,161992735
2015-03-01,"papel_moeda_publico",27789,161628667
2015-04-01,"papel_moeda_publico",27789,160208092
2015-05-01,"papel_moeda_publico",27789,159713114
2015-06-01,"papel_moeda_publico",27789,158752497
2015-07-01,"papel_moeda_publico",27789,160948154
2015-08-01,"papel_moeda_publico",27789,158744305
2015-09-01,"papel_moeda_publico",27789,159475550
2015-10-01,"papel_moeda_publico",27789,165411401
2015-11-01,"papel_moeda_publico",27789,168742696
2015-12-01,"papel_moeda_publico",27789,185280417
2016-01-01,"papel_moeda_publico",27789,171047425
2016-02-01,"papel_moeda_publico",27789,167812051
2016-03-01,"papel_moeda_publico",27789,165467548
2016-04-01,"papel_moeda_publico",27789,166404931
2016-05-01,"papel_moeda_publico",27789,164768800
2016-06-01,"papel_moeda_publico",27789,165291611
2016-07-01,"papel_moeda_publico",27789,166709749
2016-08-01,"papel_moeda_publico",27789,165551959
2016-09-01,"papel_moeda_publico",27789,171980674
2016-10-01,"papel_moeda_publico",27789,168861921
2016-11-01,"papel_moeda_publico",27789,173840340
2016-12-01,"papel_moeda_publico",27789,191973469
2017-01-01,"papel_moeda_publico",27789,174445554
2017-02-01,"papel_moeda_publico",27789,176310064
2017-03-01,"papel_moeda_publico",27789,172723627
2017-04-01,"papel_moeda_publico",27789,172972070
2017-05-01,"papel_moeda_publico",27789,171805084
2017-06-01,"papel_moeda_publico",27789,176529399
2017-07-01,"papel_moeda_publico",27789,176190151
2017-08-01,"papel_moeda_publico",27789,175511748
2017-09-01,"papel_moeda_publico",27789,178674701
2017-10-01,"papel_moeda_publico",27789,177180596
2017-11-01,"papel_moeda_publico",27789,183392581
2017-12-01,"papel_moeda_publico",27789,203909637
2018-01-01,"papel_moeda_publico",27789,186287413
2018-02-01,"papel_moeda_publico",27789,184131049
2018-03-01,"papel_moeda_publico",27789,185031942
2018-04-01,"papel_moeda_publico",27789,183399668
2018-05-01,"papel_moeda_publico",27789,184227154
2018-06-01,"papel_moeda_publico",27789,187373801
2018-07-01,"papel_moeda_publico",27789,186413087
2018-08-01,"papel_moeda_publico",27789,191594630
2018-09-01,"papel_moeda_publico",27789,195138475
2018-10-01,"papel_moeda_publico",27789,192513618
2018-11-01,"papel_moeda_publico",27789,199870050
2018-12-01,"papel_moeda_publico",27789,218156668
2019-01-01,"papel_moeda_publico",27789,199849865
2019-02-01,"papel_moeda_publico",27789,198300738
2019-03-01,"papel_moeda_publico",27789,197339506
2019-04-01,"papel_moeda_publico",27789,194784239
2019-05-01,"papel_moeda_publico",27789,195382098
2019-06-01,"papel_moeda_publico",27789,196040586
2019-07-01,"papel_moeda_publico",27789,195600058
2019-08-01,"papel_moeda_publico",27789,197966794
2019-09-01,"papel_moeda_publico",27789,201707888
2019-10-01,"papel_moeda_publico",27789,201432938
2019-11-01,"papel_moeda_publico",27789,211615347
2019-12-01,"papel_moeda_publico",27789,228309144
2020-01-01,"papel_moeda_publico",27789,212568631
2020-02-01,"papel_moeda_publico",27789,210226771
2020-03-01,"papel_moeda_publico",27789,214205638
2020-04-01,"papel_moeda_publico",27789,237659783
2020-05-01,"papel_moeda_publico",27789,256972280
2020-06-01,"papel_moeda_publico",27789,270241798
2020-07-01,"papel_moeda_publico",27789,279811158
2020-08-01,"papel_moeda_publico",27789,286098526
2020-09-01,"papel_moeda_publico",27789,287734762
2020-10-01,"papel_moeda_publico",27789,292631994
2020-11-01,"papel_moeda_publico",27789,297459982
2020-12-01,"papel_moeda_publico",27789,308889418
2021-01-01,"papel_moeda_publico",27789,292285678
2021-02-01,"papel_moeda_publico",27789,285085392
2021-03-01,"papel_moeda_publico",27789,280168637
2021-04-01,"papel_moeda_publico",27789,279333836
2021-05-01,"papel_moeda_publico",27789,278817574
2021-06-01,"papel_moeda_publico",27789,282029985
2021-07-01,"papel_moeda_publico",27789,284730060
2021-08-01,"papel_moeda_publico",27789,279483687
2021-09-01,"papel_moeda_publico",27789,276577198
2021-10-01,"papel_moeda_publico",27789,275959703
2021-11-01,"papel_moeda_publico",27789,273889482
2021-12-01,"papel_moeda_publico",27789,285944955
2022-01-01,"papel_moeda_publico",27789,271952413
2022-02-01,"papel_moeda_publico",27789,271609463
2022-03-01,"papel_moeda_publico",27789,267160888
2022-04-01,"papel_moeda_publico",27789,268524090
2022-05-01,"papel_moeda_publico",27789,270974095
2022-06-01,"papel_moeda_publico",27789,272471208
2022-07-01,"papel_moeda_publico",27789,269982482
2022-08-01,"papel_moeda_publico",27789,266726045
2022-09-01,"papel_moeda_publico",27789,270827747
2022-10-01,"papel_moeda_publico",27789,271001146
2022-11-01,"papel_moeda_publico",27789,275121329
2022-12-01,"papel_moeda_publico",27789,293148361
2023-01-01,"papel_moeda_publico",27789,283056331
2023-02-01,"papel_moeda_publico",27789,280329747
2023-03-01,"papel_moeda_publico",27789,276863077
2023-04-01,"papel_moeda_publico",27789,274869426
2023-05-01,"papel_moeda_publico",27789,273946000
2023-06-01,"papel_moeda_publico",27789,282076680
2023-07-01,"papel_moeda_publico",27789,283868470
2023-08-01,"papel_moeda_publico",27789,278671987
2023-09-01,"papel_moeda_publico",27789,277683197
2023-10-01,"papel_moeda_publico",27789,276760302
2023-11-01,"papel_moeda_publico",27789,278926524
2023-12-01,"papel_moeda_publico",27789,291881248
2024-01-01,"papel_moeda_publico",27789,280942213
2024-02-01,"papel_moeda_publico",27789,279635356
2024-03-01,"papel_moeda_publico",27789,280122167
2024-04-01,"papel_moeda_publico",27789,282362244
2024-05-01,"papel_moeda_publico",27789,291720962
2024-06-01,"papel_moeda_publico",27789,289922741
2024-07-01,"papel_moeda_publico",27789,296542441
2024-08-01,"papel_moeda_publico",27789,296780576
2024-09-01,"papel_moeda_publico",27789,299765146
2024-10-01,"papel_moeda_publico",27789,296162396
2024-11-01,"papel_moeda_publico",27789,297585270
2024-12-01,"papel_moeda_publico",27789,307989416
2025-01-01,"papel_moeda_publico",27789,302888147
2025-02-01,"papel_moeda_publico",27789,301178022
2025-03-01,"papel_moeda_publico",27789,297619722
2025-04-01,"papel_moeda_publico",27789,299767235
2025-05-01,"papel_moeda_publico",27789,305423442
2025-06-01,"papel_moeda_publico",27789,309113102
2025-07-01,"papel_moeda_publico",27789,310724057
2025-08-01,"papel_moeda_publico",27789,311344922
2025-09-01,"papel_moeda_publico",27789,309011701
2025-10-01,"papel_moeda_publico",27789,309532024
2025-11-01,"papel_moeda_publico",27789,311602969
2025-12-01,"papel_moeda_publico",27789,325030407
2026-01-01,"papel_moeda_publico",27789,318940762
2026-02-01,"papel_moeda_publico",27789,318221440
2026-03-01,"papel_moeda_publico",27789,319910234
2026-04-01,"papel_moeda_publico",27789,324491621
2026-05-01,"papel_moeda_publico",27789,330792949
2026-06-01,"papel_moeda_publico",27789,335949338
2026-07-01,"papel_moeda_publico",27789,335642824
2010-01-01,"depositos_vista",27790,135496822
2010-02-01,"depositos_vista",27790,133990063
2010-03-01,"depositos_vista",27790,139746208
2010-04-01,"depositos_vista",27790,138583896
2010-05-01,"depositos_vista",27790,141194428
2010-06-01,"depositos_vista",27790,144262764
2010-07-01,"depositos_vista",27790,142448893
2010-08-01,"depositos_vista",27790,148020454
2010-09-01,"depositos_vista",27790,150821245
2010-10-01,"depositos_vista",27790,150789085
2010-11-01,"depositos_vista",27790,157534763
2010-12-01,"depositos_vista",27790,166032777
2011-01-01,"depositos_vista",27790,154131680
2011-02-01,"depositos_vista",27790,153399980
2011-03-01,"depositos_vista",27790,152946557
2011-04-01,"depositos_vista",27790,149122567
2011-05-01,"depositos_vista",27790,151393660
2011-06-01,"depositos_vista",27790,154364464
2011-07-01,"depositos_vista",27790,150832033
2011-08-01,"depositos_vista",27790,146827417
2011-09-01,"depositos_vista",27790,150158812
2011-10-01,"depositos_vista",27790,147891957
2011-11-01,"depositos_vista",27790,152457744
2011-12-01,"depositos_vista",27790,160792831
2012-01-01,"depositos_vista",27790,148461917
2012-02-01,"depositos_vista",27790,147175679
2012-03-01,"depositos_vista",27790,148173897
2012-04-01,"depositos_vista",27790,150133418
2012-05-01,"depositos_vista",27790,149788445
2012-06-01,"depositos_vista",27790,152913772
2012-07-01,"depositos_vista",27790,152516010
2012-08-01,"depositos_vista",27790,150475668
2012-09-01,"depositos_vista",27790,155189755
2012-10-01,"depositos_vista",27790,154978708
2012-11-01,"depositos_vista",27790,163382994
2012-12-01,"depositos_vista",27790,183846901
2013-01-01,"depositos_vista",27790,162718149
2013-02-01,"depositos_vista",27790,164228182
2013-03-01,"depositos_vista",27790,169180350
2013-04-01,"depositos_vista",27790,166393966
2013-05-01,"depositos_vista",27790,169194913
2013-06-01,"depositos_vista",27790,175804388
2013-07-01,"depositos_vista",27790,169590819
2013-08-01,"depositos_vista",27790,169254733
2013-09-01,"depositos_vista",27790,171086110
2013-10-01,"depositos_vista",27790,167540939
2013-11-01,"depositos_vista",27790,177403957
2013-12-01,"depositos_vista",27790,190771859
2014-01-01,"depositos_vista",27790,173300906
2014-02-01,"depositos_vista",27790,175170967
