"trimestre","componente","valor_milhoes"
"202404","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",59842
"202501","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",59893
"202502","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",64828
"202503","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",65882
"202504","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",69627
"202601","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",73826
"202602","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",72094
"201901","Construção",57218
"201902","Construção",60794
"201903","Construção",66335
"201904","Construção",64295
"202001","Construção",65932
"202002","Construção",63609
"202003","Construção",70916
"202004","Construção",67465
"202101","Construção",68968
"202102","Construção",64970
"202103","Construção",71862
"202104","Construção",69311
"202201","Construção",67559
"202202","Construção",71232
"202203","Construção",77033
"202204","Construção",78216
"202301","Construção",74974
"202302","Construção",81041
"202303","Construção",84188
"202304","Construção",87874
"202401","Construção",85906
"202402","Construção",91932
"202403","Construção",89985
"202404","Construção",91259
"202501","Construção",96348
"202502","Construção",102540
"202503","Construção",104277
"202504","Construção",100203
"202601","Construção",107147
"202602","Construção",105334
"201901","Serviços - total",1105719
"201902","Serviços - total",1149985
"201903","Serviços - total",1169820
"201904","Serviços - total",1234642
"202001","Serviços - total",1141341
"202002","Serviços - total",1106257
"202003","Serviços - total",1155306
"202004","Serviços - total",1273075
"202101","Serviços - total",1184303
"202102","Serviços - total",1243949
"202103","Serviços - total",1293682
"202104","Serviços - total",1407180
"202201","Serviços - total",1318603
"202202","Serviços - total",1428022
"202203","Serviços - total",1496717
"202204","Serviços - total",1611663
"202301","Serviços - total",1501240
"202302","Serviços - total",1592737
"202303","Serviços - total",1629060
"202304","Serviços - total",1753118
"202401","Serviços - total",1619175
"202402","Serviços - total",1708117
"202403","Serviços - total",1767211
"202404","Serviços - total",1875368
"202501","Serviços - total",1761351
"202502","Serviços - total",1876137
"202503","Serviços - total",1928012
"202504","Serviços - total",2044370
"202601","Serviços - total",1926570
"202602","Serviços - total",2027144
"201901","Comércio",193729
"201902","Comércio",203230
"201903","Comércio",214119
"201904","Comércio",211512
"202001","Comércio",197598
"202002","Comércio",175375
"202003","Comércio",218670
"202004","Comércio",233703
"202101","Comércio",217565
"202102","Comércio",234816
"202103","Comércio",256923
"202104","Comércio",256399
"202201","Comércio",250947
"202202","Comércio",279207
"202203","Comércio",298237
"202204","Comércio",289357
"202301","Comércio",274397
"202302","Comércio",280547
"202303","Comércio",297896
"202304","Comércio",292692
"202401","Comércio",278010
"202402","Comércio",298645
"202403","Comércio",325301
"202404","Comércio",323669
"202501","Comércio",302365
"202502","Comércio",316953
"202503","Comércio",332614
"202504","Comércio",319578
"202601","Comércio",299722
"202602","Comércio",328199
"201901","Transporte, armazenagem e correio",68065
"201902","Transporte, armazenagem e correio",69186
"201903","Transporte, armazenagem e correio",74625
"201904","Transporte, armazenagem e correio",72595
"202001","Transporte, armazenagem e correio",64987
"202002","Transporte, armazenagem e correio",60192
"202003","Transporte, armazenagem e correio",69058
"202004","Transporte, armazenagem e correio",79002
"202101","Transporte, armazenagem e correio",74144
"202102","Transporte, armazenagem e correio",75199
"202103","Transporte, armazenagem e correio",78450
"202104","Transporte, armazenagem e correio",76248
"202201","Transporte, armazenagem e correio",71620
"202202","Transporte, armazenagem e correio",67188
"202203","Transporte, armazenagem e correio",70473
"202204","Transporte, armazenagem e correio",70101
"202301","Transporte, armazenagem e correio",76554
"202302","Transporte, armazenagem e correio",85979
"202303","Transporte, armazenagem e correio",90135
"202304","Transporte, armazenagem e correio",84518
"202401","Transporte, armazenagem e correio",86076
"202402","Transporte, armazenagem e correio",89974
"202403","Transporte, armazenagem e correio",96614
"202404","Transporte, armazenagem e correio",92869
"202501","Transporte, armazenagem e correio",91300
"202502","Transporte, armazenagem e correio",97591
"202503","Transporte, armazenagem e correio",105450
"202504","Transporte, armazenagem e correio",101330
"202601","Transporte, armazenagem e correio",100964
"202602","Transporte, armazenagem e correio",102008
"201901","Informação e comunicação",50553
"201902","Informação e comunicação",53092
"201903","Informação e comunicação",55294
"201904","Informação e comunicação",59937
"202001","Informação e comunicação",55271
"202002","Informação e comunicação",57753
"202003","Informação e comunicação",58265
"202004","Informação e comunicação",66284
"202101","Informação e comunicação",60000
"202102","Informação e comunicação",64688
"202103","Informação e comunicação",65867
"202104","Informação e comunicação",73977
"202201","Informação e comunicação",63943
"202202","Informação e comunicação",69477
"202203","Informação e comunicação",75382
"202204","Informação e comunicação",82382
"202301","Informação e comunicação",73872
"202302","Informação e comunicação",79798
"202303","Informação e comunicação",81958
"202304","Informação e comunicação",87377
"202401","Informação e comunicação",80637
"202402","Informação e comunicação",85759
"202403","Informação e comunicação",89530
"202404","Informação e comunicação",96745
"202501","Informação e comunicação",88161
"202502","Informação e comunicação",94941
"202503","Informação e comunicação",99299
"202504","Informação e comunicação",106890
"202601","Informação e comunicação",101133
"202602","Informação e comunicação",107301
"201901","Atividades financeiras, de seguros e serviços relacionados",112064
"201902","Atividades financeiras, de seguros e serviços relacionados",111318
"201903","Atividades financeiras, de seguros e serviços relacionados",117184
"201904","Atividades financeiras, de seguros e serviços relacionados",119726
"202001","Atividades financeiras, de seguros e serviços relacionados",119918
"202002","Atividades financeiras, de seguros e serviços relacionados",115957
"202003","Atividades financeiras, de seguros e serviços relacionados",112560
"202004","Atividades financeiras, de seguros e serviços relacionados",106116
"202101","Atividades financeiras, de seguros e serviços relacionados",113517
"202102","Atividades financeiras, de seguros e serviços relacionados",103496
"202103","Atividades financeiras, de seguros e serviços relacionados",105009
"202104","Atividades financeiras, de seguros e serviços relacionados",125026
"202201","Atividades financeiras, de seguros e serviços relacionados",139380
"202202","Atividades financeiras, de seguros e serviços relacionados",146146
"202203","Atividades financeiras, de seguros e serviços relacionados",152420
"202204","Atividades financeiras, de seguros e serviços relacionados",171430
